hall_id,hall_name,today_score,today_events,schedule_week
261000400000012010,稲毛海岸UNO,,情報はありません,4/29:11.8点 四暗刻来店取材(漢字取材編集部) | 5/1:11.9点 ナビ子AI予想【機種仕掛け】★3 (1のつく日) / 超キノコ狩り2nd / 旧イベ(1のつく日) | 5/4:10.8点 半撃来店取材 / ※一部取材スケジュールの推測について / 「千葉県
261002600000003140,アスワン幕張,,"C / ナビ子AI独自予想 N +4.5 / ホールナビによる独自分析！ / 「ナビ子AI独自予想 N +4.5」の信頼度は?? / 直近一年以内の全国の出玉データを分析！出玉面から取材、予想の信頼度をチェック！ / サンプル軸	確認302件 / 実施599件 (50.4%) / 出玉状況	平均-118枚 上位85.5% / 稼働状況	平均3,585G 上位46.4% / 単独開催時	平均-236",4/28:5.8点 ナビ子AI独自予想 N +4.5 / ホールナビによる独自分析！ / 「ナビ子AI独自予想 N +4.5」の信頼度は?? / 直近一年以内の全国の出玉データを分析！出玉面から取材、予想の信頼度をチェック！ / サンプル軸	確認302件 / 実施599件 (50.4%) / 出玉状況	平均-118枚  | 4/29:5.8点 ナビ子AI独自予想 N +4.5 | 5/1:1.3点 旧イベ(1のつく日) | 5/2:5.8点 ナビ子AI独自予想 N +4.5 | 5/3:5.8点 ナビ子AI独自予想 N +4.5 | 5/4:5.8点 ナビ子AI独自予想 N +4.5 | 5/5:5.8点 ナビ子AI独自予想 N +4.5 / ※一部取材スケジュールの推測について / 「千葉県
262000100000947100,日の丸横戸店,,情報はありません / ※一部取材スケジュールの推測について / 「千葉県 4/28(火)」おすすめランキングを見る / 「千葉県」取材・旧イベ一覧を見る / ここからは分析型人工知能ナビ子が、分析内容と一緒にご説明します！お気づきの点やご要望があればコメント欄にお書きください！ / 分析の基準日について / 4/28(火)を基準に分析を行っています！ / 当日の取材／独自予想 / 4/28(火)は,
262002200000002150,パラッツォ新検見川店,,C / よっしー社長の厳選ホール / よっしー社長プロデュース / よっしー社長Twitterに傾向まとめが掲載されている場合があるので、要チェック / 「よっしー社長の厳選ホール」の信頼度は?? / 直近一年以内の全国の出玉データを分析！出玉面から取材、予想の信頼度をチェック！ / サンプル軸	確認455件 / 実施1553件 (29.3%) / 出玉状況	平均-121枚 上位85.5% / 稼,4/28:8.3点 よっしー社長の厳選ホール / よっしー社長プロデュース / よっしー社長Twitterに傾向まとめが掲載されている場合があるので、要チェック / 「よっしー社長の厳選ホール」の信頼度は?? / 直近一年以内の全国の出玉データを分析！出玉面から取材、予想の信頼度をチェック！ / サンプル軸	確認455 | 5/2:9.5点 検見川スロット / 旧イベ過去状況評価 +0.5 / 旧イベ(2のつく日) / ※一部取材スケジュールの推測について / 「千葉県
262003200001778210,TOHO幕張店,,情報はありません,5/4:0.0点 旧イベ(4のつく日) | 5/5:4.5点 効率よしき来店 / ※一部取材スケジュールの推測について / 「千葉県
262003200003771030,やすだ幕張店,,情報はありません,4/29:14.4点 旧イベ過去状況評価 +6.5 / アナスロ調査班来店 / 大感謝取材 / 旧イベ(9のつく日) | 5/1:13.8点 始まりノ刻 | 5/3:14.8点 ナビ子AI予想【機種仕掛け】★3 (毎週 日曜日) / 旧イベ(3のつく日) | 5/5:16.3点 ナビ子AI予想【機種仕掛け】★5 (月と重なる日) / ヒカルの一致団結（スロミュー×ヒカル） / アナスロ調査班来店 / 双乱ノ刻 / ナビ子AI独自予想 N +4.5 / ※一部取材スケジュールの推測について / 「千葉県
262004500000046331,ガイアネクスト花見川,,"B / SEVEN THE TARGET / セブンラッシュ / 「SEVEN THE TARGET」の信頼度は?? / 直近一年以内の全国の出玉データを分析！出玉面から取材、予想の信頼度をチェック！ / サンプル軸	確認142件 / 実施394件 (36%) / 出玉状況	平均-42枚 上位65.2% / 稼働状況	平均3,003G 上位65.6% / 単独開催時	平均-71枚 平均1,962G",4/28:8.7点 SEVEN THE TARGET / セブンラッシュ / 「SEVEN THE TARGET」の信頼度は?? / 直近一年以内の全国の出玉データを分析！出玉面から取材、予想の信頼度をチェック！ / サンプル軸	確認142件 / 実施394件 (36%) / 出玉状況	平均-42枚 上位65.2% / | 4/29:9.1点 SEVEN THE TARGET / ナビ子AI予想【機種仕掛け】★1 (9のつく日) / 旧イベ(9のつく日) | 5/3:8.7点 ナビ子AI予想【機種仕掛け】★1 (3のつく日) / 旧イベ(3のつく日) / ※一部取材スケジュールの推測について / 「千葉県
263000100000083410,マルハン千葉北店,,"A / あいみん来店 / その他取材・企画 / 「あいみん来店」の信頼度は?? / 直近一年以内の全国の出玉データを分析！出玉面から取材、予想の信頼度をチェック！ / サンプル軸	確認51件 / 実施87件 (58.6%) / 出玉状況	平均+1枚 上位43% / 稼働状況	平均4,242G 上位25.1% / 単独開催時	平均-59枚 平均3,308G / 確認店舗数	21店舗 / 開催時影響	","4/28:10.2点 あいみん来店 / その他取材・企画 / 「あいみん来店」の信頼度は?? / 直近一年以内の全国の出玉データを分析！出玉面から取材、予想の信頼度をチェック！ / サンプル軸	確認51件 / 実施87件 (58.6%) / 出玉状況	平均+1枚 上位43% / 稼働状況	平均4,242G 上位25.1% | 4/29:6.3点 クロロ調査隊チームS/P | 4/30:6.3点 MISTK5 | 5/1:6.7点 河原みのり来店 / 半鬼の太鼓 | 5/3:6.3点 ミカエル来店(神の子来店ホール調査) / イザナギ来店(神の子来店ホール調査) / ガブリエル来店(神の子来店ホール調査) / ※一部取材スケジュールの推測について / 「千葉県"
263000400000005160,日の丸パチンコ六方店,,情報はありません,4/30:0.0点 旧イベ(0のつく日) | 5/3:0.0点 旧イベ(3のつく日) / ※一部取材スケジュールの推測について / 「千葉県
263000500000035510,パールショップともえ稲毛長沼店,,情報はありません,5/2:5.5点 旧イベ(2のつく日) / ※一部取材スケジュールの推測について / 「千葉県
263004300000002420,エスパス日拓稲毛駅前新館,,情報はありません,5/5:8.1点 極パス / ※一部取材スケジュールの推測について / 「千葉県
263004300000002570,アイオン稲毛東口店,,情報はありません / ※一部取材スケジュールの推測について / 「千葉県 4/28(火)」おすすめランキングを見る / 「千葉県」取材・旧イベ一覧を見る / ここからは分析型人工知能ナビ子が、分析内容と一緒にご説明します！お気づきの点やご要望があればコメント欄にお書きください！ / 分析の基準日について / 4/28(火)を基準に分析を行っています！ / 当日の取材／独自予想 / 4/28(火)は,
263004300000022100,やすだ稲毛駅前店,,情報はありません,4/29:7.2点 アツ姫来店 | 5/1:9.4点 始まりノ刻 | 5/5:10.8点 ヒカルの一致団結（スロミュー×ヒカル） / 双乱ノ刻 / ※一部取材スケジュールの推測について / 「千葉県
264000100000206130,ハップス千城台店,,・ / 新台入替(P-WORLD引用) / ・ / 旧イベ(8のつく日) / ※一部取材スケジュールの推測について / 「千葉県 4/28(火)」おすすめランキングを見る / 「千葉県」取材・旧イベ一覧を見る / ここからは分析型人工知能ナビ子が、分析内容と一緒にご説明します！お気づきの点やご要望があればコメント欄にお書きください！ / 分析の基準日について / 4/28(火)を基準に分析を行って,4/28:1.0点 新台入替(P-WORLD引用) / 旧イベ(8のつく日) / ※一部取材スケジュールの推測について / 「千葉県
264000700000171020,フラミンゴ小倉店,,情報はありません,5/4:5.0点 スロ王来店取材 | 5/5:2.0点 旧イベ(5のつく日) / ※一部取材スケジュールの推測について / 「千葉県
264002100000432840,アラジン若松店,,・ / 旧イベ(8のつく日) / ※一部取材スケジュールの推測について / 「千葉県 4/28(火)」おすすめランキングを見る / 「千葉県」取材・旧イベ一覧を見る / ここからは分析型人工知能ナビ子が、分析内容と一緒にご説明します！お気づきの点やご要望があればコメント欄にお書きください！ / 分析の基準日について / 4/28(火)を基準に分析を行っています！ / 合計 +3.4 / 当日の取材,4/28:3.4点 旧イベ(8のつく日) / ※一部取材スケジュールの推測について / 「千葉県
264002600000003910,ビッグスクエア都賀店,,情報はありません,4/30:0.0点 旧イベ(0のつく日) | 5/5:0.0点 旧イベ(5のつく日) / ※一部取材スケジュールの推測について / 「千葉県
264003500000008150,ハップス東寺山店,,・ / 旧イベ(8のつく日) / ※一部取材スケジュールの推測について / 「千葉県 4/28(火)」おすすめランキングを見る / 「千葉県」取材・旧イベ一覧を見る / ここからは分析型人工知能ナビ子が、分析内容と一緒にご説明します！お気づきの点やご要望があればコメント欄にお書きください！ / 分析の基準日について / 4/28(火)を基準に分析を行っています！ / 当日の取材／独自予想 / 4/,4/28:0.0点 旧イベ(8のつく日) / ※一部取材スケジュールの推測について / 「千葉県
266000500022303160,誉田スパジオ,,情報はありません / ※一部取材スケジュールの推測について / 「千葉県 4/28(火)」おすすめランキングを見る / 「千葉県」取材・旧イベ一覧を見る / ここからは分析型人工知能ナビ子が、分析内容と一緒にご説明します！お気づきの点やご要望があればコメント欄にお書きください！ / 分析の基準日について / 4/28(火)を基準に分析を行っています！ / 当日の取材／独自予想 / 4/28(火)は,
266001600000011700,VEGA千葉南,,情報はありません,4/29:9.1点 トクダネ！ / サンスポ 取材班来店 | 5/2:7.2点 半鬼の太鼓 | 5/3:7.7点 真骨頂 | 5/5:11.0点 覇王のリアル / 旧イベ過去状況評価 +0.5 / 旧イベ(5のつく日) / ※一部取材スケジュールの推測について / 「千葉県
266003100000005480,アイオンおゆみ野店,,情報はありません / ※一部取材スケジュールの推測について / 「千葉県 4/28(火)」おすすめランキングを見る / 「千葉県」取材・旧イベ一覧を見る / ここからは分析型人工知能ナビ子が、分析内容と一緒にご説明します！お気づきの点やご要望があればコメント欄にお書きください！ / 分析の基準日について / 4/28(火)を基準に分析を行っています！ / 合計 +2.4 / 当日の取材／独自予想 ,
266003100000031760,ピーアークおゆみ野,,"C / 半撃来店取材 / SPリサーチ / 「半撃来店取材」の信頼度は?? / 直近一年以内の全国の出玉データを分析！出玉面から取材、予想の信頼度をチェック！ / サンプル軸	確認450件 / 実施674件 (66.8%) / 出玉状況	平均-40枚 上位58.2% / 稼働状況	平均3,563G 上位46.4% / 単独開催時	平均-37枚 平均3,550G / 確認店舗数	53店舗 / 開催時","4/28:6.9点 半撃来店取材 / SPリサーチ / 「半撃来店取材」の信頼度は?? / 直近一年以内の全国の出玉データを分析！出玉面から取材、予想の信頼度をチェック！ / サンプル軸	確認450件 / 実施674件 (66.8%) / 出玉状況	平均-40枚 上位58.2% / 稼働状況	平均3,563G 上位46 | 4/29:11.7点 スロパチガール来店S / タイガー来店取材玉10 | 4/30:5.3点 SS・判沢くん取材 / SS・摩天楼取材 | 5/1:5.3点 SS・判沢くん取材 / SS・摩天楼取材 | 5/2:11.3点 スロパチステーション来店取材(青) | 5/3:11.3点 スロパチガール来店S | 5/4:11.3点 スロパチガール来店S"
267005400000041310,フィーバー,,情報はありません / ※一部取材スケジュールの推測について / 「千葉県 4/28(火)」おすすめランキングを見る / 「千葉県」取材・旧イベ一覧を見る / ここからは分析型人工知能ナビ子が、分析内容と一緒にご説明します！お気づきの点やご要望があればコメント欄にお書きください！ / 分析の基準日について / 4/28(火)を基準に分析を行っています！ / 合計 0.0 / 当日の取材／独自予想 /,
267006600000009110,エリゼあすみが丘店,,情報はありません,4/29:10.0点 タレント・ライター / 伊吹るな来店 | 5/4:7.1点 伊吹るな来店 / ※一部取材スケジュールの推測について / 「千葉県
270001300000001112,VZONE北小金店,,情報はありません,4/29:6.4点 3×3STAR取材 / 闇月リリム来店 / ※一部取材スケジュールの推測について / 「千葉県
270003400000002161,松戸屋,,情報はありません / ※一部取材スケジュールの推測について / 「千葉県 4/28(火)」おすすめランキングを見る / 「千葉県」取材・旧イベ一覧を見る / ここからは分析型人工知能ナビ子が、分析内容と一緒にご説明します！お気づきの点やご要望があればコメント欄にお書きください！ / 分析の基準日について / 4/28(火)を基準に分析を行っています！ / 当日の取材／独自予想 / 4/28(火)は,
270003400000004420,ピーステージマックス,,情報はありません,4/30:0.0点 旧イベ(0のつく日) / ※一部取材スケジュールの推測について / 「千葉県
270003400000004440,パチスロクィーン,,情報はありません,5/2:0.0点 旧イベ(2のつく日) / ※一部取材スケジュールの推測について / 「千葉県
270003400000014261,テンイチ∞新松戸店,,・ / 旧イベ(8のつく日),4/28:0.0点 旧イベ(8のつく日) / 明日: | 4/29:3.5点 スロ王来店取材 | 5/2:3.5点 スロ王来店取材 | 5/5:3.0点 道化師取材 / ※一部取材スケジュールの推測について / 「千葉県
270011100000000170,江戸川台センター,,情報はありません / ※一部取材スケジュールの推測について / 「千葉県 4/28(火)」おすすめランキングを見る / 「千葉県」取材・旧イベ一覧を見る / ここからは分析型人工知能ナビ子が、分析内容と一緒にご説明します！お気づきの点やご要望があればコメント欄にお書きください！ / 分析の基準日について / 4/28(火)を基準に分析を行っています！ / 当日の取材／独自予想 / 4/28(火)は,
270012100000310650,PARLORメジャー,,情報はありません / ※一部取材スケジュールの推測について / 「千葉県 4/28(火)」おすすめランキングを見る / 「千葉県」取材・旧イベ一覧を見る / ここからは分析型人工知能ナビ子が、分析内容と一緒にご説明します！お気づきの点やご要望があればコメント欄にお書きください！ / 分析の基準日について / 4/28(火)を基準に分析を行っています！ / 当日の取材／独自予想 / 4/28(火)は,
270015700000003810,ミスターパチンコ流山店,,情報はありません / ※一部取材スケジュールの推測について / 「千葉県 4/28(火)」おすすめランキングを見る / 「千葉県」取材・旧イベ一覧を見る / ここからは分析型人工知能ナビ子が、分析内容と一緒にご説明します！お気づきの点やご要望があればコメント欄にお書きください！ / 分析の基準日について / 4/28(火)を基準に分析を行っています！ / 当日の取材／独自予想 / 4/28(火)は,
270016300000019170,やすだ南流山店,,情報はありません,5/1:10.5点 始まりノ刻 | 5/5:11.9点 ヒカルの一致団結（スロミュー×ヒカル） / 双乱ノ刻 / ナビ子AI予想【機種仕掛け】★1 (5のつく日) / 旧イベ(5のつく日) / ※一部取材スケジュールの推測について / 「千葉県
270017200000024111,SAP流山店,,情報はありません,4/29:12.1点 SAP取材 / サプ掘り取材 / サンスポ特別取材 / ※一部取材スケジュールの推測について / 「千葉県
270023700000062111,SAP野田北,,情報はありません,4/29:13.3点 SAP取材 / サプ掘り取材 / サンスポ特別取材 | 5/3:12.2点 ナビ子AI予想【差枚プラス】★1 (毎週 日曜日) | 5/5:12.7点 ナビ子AI予想【差枚プラス】★3 (5のつく日) / ※一部取材スケジュールの推測について / 「千葉県
270113200000011670,VZONE湖北店,,情報はありません / ※一部取材スケジュールの推測について / 「千葉県 4/28(火)」おすすめランキングを見る / 「千葉県」取材・旧イベ一覧を見る / ここからは分析型人工知能ナビ子が、分析内容と一緒にご説明します！お気づきの点やご要望があればコメント欄にお書きください！ / 分析の基準日について / 4/28(火)を基準に分析を行っています！ / 当日の取材／独自予想 / 4/28(火)は,
270114300000001610,パーラードラゴン天王台,,情報はありません,5/5:0.0点 旧イベ(5のつく日) / ※一部取材スケジュールの推測について / 「千葉県
270116600000001450,ジャンボ,,情報はありません,5/5:0.0点 旧イベ(5のつく日) / ※一部取材スケジュールの推測について / 「千葉県
270117700000004720,ブイゾーン我孫子店,,情報はありません / ※一部取材スケジュールの推測について / 「千葉県 4/28(火)」おすすめランキングを見る / 「千葉県」取材・旧イベ一覧を見る / ここからは分析型人工知能ナビ子が、分析内容と一緒にご説明します！お気づきの点やご要望があればコメント欄にお書きください！ / 分析の基準日について / 4/28(火)を基準に分析を行っています！ / 当日の取材／独自予想 / 4/28(火)は,
270132700000243551,ブイゾーン印西,,情報はありません / ※一部取材スケジュールの推測について / 「千葉県 4/28(火)」おすすめランキングを見る / 「千葉県」取材・旧イベ一覧を見る / ここからは分析型人工知能ナビ子が、分析内容と一緒にご説明します！お気づきの点やご要望があればコメント欄にお書きください！ / 分析の基準日について / 4/28(火)を基準に分析を行っています！ / 当日の取材／独自予想 / 4/28(火)は,
270134000000001710,マルハン千葉ニュータウン,,情報はありません,4/29:12.3点 伝説の刻 | 5/3:6.8点 桜梅桃李 / ※一部取材スケジュールの推測について / 「千葉県
270136400000005510,絆の森印西店,,情報はありません / ※一部取材スケジュールの推測について / 「千葉県 4/28(火)」おすすめランキングを見る / 「千葉県」取材・旧イベ一覧を見る / ここからは分析型人工知能ナビ子が、分析内容と一緒にご説明します！お気づきの点やご要望があればコメント欄にお書きください！ / 分析の基準日について / 4/28(火)を基準に分析を行っています！ / 当日の取材／独自予想 / 4/28(火)は,
270140500000078110,VZONE白井店,,情報はありません / ※一部取材スケジュールの推測について / 「千葉県 4/28(火)」おすすめランキングを見る / 「千葉県」取材・旧イベ一覧を見る / ここからは分析型人工知能ナビ子が、分析内容と一緒にご説明します！お気づきの点やご要望があればコメント欄にお書きください！ / 分析の基準日について / 4/28(火)を基準に分析を行っています！ / 当日の取材／独自予想 / 4/28(火)は,
270141600000186820,VZONE神々廻店,,情報はありません / ※一部取材スケジュールの推測について / 「千葉県 4/28(火)」おすすめランキングを見る / 「千葉県」取材・旧イベ一覧を見る / ここからは分析型人工知能ナビ子が、分析内容と一緒にご説明します！お気づきの点やご要望があればコメント欄にお書きください！ / 分析の基準日について / 4/28(火)を基準に分析を行っています！ / 当日の取材／独自予想 / 4/28(火)は,
270143100000010181,ゼウスR16,,情報はありません / ※一部取材スケジュールの推測について / 「千葉県 4/28(火)」おすすめランキングを見る / 「千葉県」取材・旧イベ一覧を見る / SNS、ネットの噂 / ラインの画像で示唆をしていることがある（華、ジャグラー、萌え系、大都、再プレイ） / 0	0 / 4年前 / ここからは分析型人工知能ナビ子が、分析内容と一緒にご説明します！お気づきの点やご要望があればコメント欄にお書,
270143200000003320,ハップス鎌ヶ谷店(HAPS),,情報はありません / ※一部取材スケジュールの推測について / 「千葉県 4/28(火)」おすすめランキングを見る / 「千葉県」取材・旧イベ一覧を見る / ここからは分析型人工知能ナビ子が、分析内容と一緒にご説明します！お気づきの点やご要望があればコメント欄にお書きください！ / 分析の基準日について / 4/28(火)を基準に分析を行っています！ / 当日の取材／独自予想 / 4/28(火)は,
270221400000026120,マルハン松飛台店,,情報はありません,5/1:3.5点 剛腕のリアル | 5/4:4.0点 諸積ゲンズブール来店 / ※一部取材スケジュールの推測について / 「千葉県
270221600000016210,パールショップともえ松戸店,,情報はありません,4/29:7.5点 旧イベ(9のつく日) / ※一部取材スケジュールの推測について / 「千葉県
270222200000032650,エクスアリーナ松戸,,"・ / エクスカリバー来店取材　鋼針領域-ボーダーブレイク- / エクスカリバー / 「エクスカリバー来店取材　鋼針領域-ボーダーブレイク-」の信頼度は?? / 直近一年以内の全国の出玉データを分析！出玉面から取材、予想の信頼度をチェック！ / サンプル軸	確認147件 / 実施148件 (99.3%) / 出玉状況	平均-169枚 上位93.2% / 稼働状況	平均4,250G 上位25.1% ",4/28:6.9点 エクスカリバー来店取材　鋼針領域-ボーダーブレイク- / エクスカリバー / 「エクスカリバー来店取材　鋼針領域-ボーダーブレイク-」の信頼度は?? / 直近一年以内の全国の出玉データを分析！出玉面から取材、予想の信頼度をチェック！ / サンプル軸	確認147件 / 実施148件 (99.3%) / | 4/29:15.1点 心を燃やせ / 全力厳選ホール / アナスロ予測(金) / サンスポホール取材 / エクスカリバー来店取材　鋼針領域-ボーダーブレイク- / キテレツ来店取材 | 4/30:7.0点 ナビ子AI予想【機種仕掛け】★2 (0のつく日) / 無職ちゃん来店 / エクスカリバー来店取材　鋼針領域-ボーダーブレイク- / 旧イベ(0のつく日) | 5/1:7.3点 裏破天荒来店取材 / 玉ちゃん来店 | 5/2:10.6点 波美はるか（ナミ）来店 | 5/3:6.9点 河原みのり来店 / ゴウケツ来店取材 | 5/5:13.9点 全力厳選ホール / 正真正銘 / ナビ子AI予想【機種仕掛け】★2 (5のつく日) / 旧イベ(5のつく日) / ※一部取材スケジュールの推測について / 「千葉県
270222200000033790,ザ・ガーデン,,・ / ぱちたん川柳SELECTION / DMMぱちタウン / 公式HPのバナー画像が川柳になっている。取材対象機種の参考になるので、川柳は確認しておこう / ぱちたん川柳SELECTION ページ / 「ぱちたん川柳SELECTION」の信頼度は?? / 直近一年以内の全国の出玉データを分析！出玉面から取材、予想の信頼度をチェック！ / サンプル軸	確認322件 / 実施952件 (33.8%,4/28:4.2点 ぱちたん川柳SELECTION / DMMぱちタウン / 公式HPのバナー画像が川柳になっている。取材対象機種の参考になるので、川柳は確認しておこう / ぱちたん川柳SELECTION ページ / 「ぱちたん川柳SELECTION」の信頼度は?? / 直近一年以内の全国の出玉データを分析！出玉面から | 4/29:11.1点 心を燃やせ / アナスロ予測(金) / ぱちたん川柳SELECTION | 4/30:3.2点 ぱちたん川柳SELECTION | 5/5:9.7点 ナビ子AI予想【差枚プラス】★1 (月と重なる日) / 旧イベ(月と重なる日) / ※一部取材スケジュールの推測について / 「千葉県
270224100000005810,キコーナ松戸店,,情報はありません,4/29:12.2点 ナビ子AI予想【機種仕掛け】★2 (9のつく日) / 旧イベ(9のつく日) | 5/1:9.2点 OneSpark | 5/2:9.7点 四星(超太陽神) | 5/3:12.2点 ナビ子AI予想【機種仕掛け】★2 (3のつく日) / 旧イベ(3のつく日) / ※一部取材スケジュールの推測について / 「千葉県
270225100000269100,ガーデン松戸金ヶ作,,S / アルティメットCG調査隊 / ※『初調査』 / パーフェクトリサーチ / レポートは / ・全体差枚ランキングTOP30 / ・全体回転ランキングTOP30 / ・機種別ピックアップ / ・機種別差枚ランキング / という構成になっています / 「アルティメットCG調査隊」の信頼度は?? / 直近一年以内の全国の出玉データを分析！出玉面から取材、予想の信頼度をチェック！ / サンプル軸	確,4/28:9.7点 アルティメットCG調査隊 / ※『初調査』 / パーフェクトリサーチ / レポートは / ・全体差枚ランキングTOP30 / ・全体回転ランキングTOP30 / ・機種別ピックアップ / ・機種別差枚ランキング / という構成になっています / 「アルティメットCG調査隊」の信頼度は?? / 直近一 | 4/29:6.8点 天草極上ホール応援団来店 / JBメンバーズ・タレント来店 / PFちゅんげー調査隊来店 / よっしー社長の厳選ホール / 週刊りみっとくん | 4/30:3.1点 よっしー社長の厳選ホール / 天草ヤスヲのあるがままに / 週刊りみっとくん | 5/1:2.4点 天草ヤスヲのあるがままに / 週刊りみっとくん | 5/2:2.4点 天草ヤスヲのあるがままに / 週刊りみっとくん / 旧イベ(毎月 2日) | 5/3:5.4点 結城レン来店 / 週刊りみっとくん | 5/4:8.0点 アルティメットCG調査隊 / 天草超絶ホール応援団来店 / アツ姫来店 / 週刊りみっとくん
